Unnamed: 0,SeqID,PAS_261_300,distance_261_300,PAS_301_350,distance_301_350,AllOligomerScore_200_260,AllOligomerScore_261_301,AllOligomerScore_290_310,AllOligomerScore_301_350,Y
29,>NT_033777.3:31046521-31047121,3.77,31,3.18,42,105.75,78.58,37.41,58.6,1
30,>NT_033777.3:5358665-5359265,3.12,13,3.36,43,88.81,55.8,32.48,80.41,1
31,>NC_004354.4:4699568-4700168,3.61,3,3.98,17,124.63,69.31,28.75,96.04,1
32,>NT_033779.5:3146308-3146908,3.12,17,3.33,42,111.24,61.88,32.54,81.81,1
33,>NC_004354.4:12176007-12176607,3.57,15,3.25,42,126.73,78.43,40.27,69.08,1
34,>NT_033777.3:18153340-18153940,3.24,18,2.74,7,92.31,60.23,23.62,70.96,1
35,>NC_004354.4:5947609-5948209,3.49,21,3.05,39,122.95,71.71,24.75,66.32,1
36,>NT_033778.4:16325038-16325638,3.61,31,3.28,11,97.84,73.39,31.98,77.56,1
37,>NT_033778.4:6692491-6693091,3.09,28,3.43,1,97.35,82.34,38.01,77.3,1
38,>NC_004354.4:18201513-18202113,3.53,25,3.77,8,105.81,73.9,40.18,103.38,1
39,>NT_037436.4:20959870-20960470,3.61,7,3.26,43,89.29,76.94,30.48,70.76,1
40,>NT_033778.4:22640299-22640899,3.26,4,3.77,42,73.93,68.77,41.68,67.35,1
41,>NT_033779.5:1114420-1115020,3.2,17,3.67,27,111.0,75.29,26.04,92.33,1
42,>NT_033779.5:5548977-5549577,3.98,31,3.25,9,94.54,90.75,19.36,73.47,1
43,>NT_033777.3:8221841-8222441,3.98,30,3.33,4,79.93,86.17,37.64,70.94,1
44,>NT_033779.5:10224417-10225017,3.61,18,3.57,19,106.97,76.61,28.35,94.49,1
45,>NT_033777.3:19389574-19390174,3.5,5,3.36,43,91.3,80.16,39.06,70.53,1
46,>NT_033777.3:24344191-24344791,3.61,16,3.77,14,121.87,76.44,35.07,98.8,1
47,>NT_033778.4:18774563-18775163,3.61,15,3.61,25,104.73,68.57,26.57,75.09,1
48,>NT_033779.5:3668961-3669561,3.49,34,3.61,42,105.27,75.0,39.45,80.97,1
49,>NT_033779.5:13550879-13551479,3.5,27,3.98,42,102.73,92.86,44.93,70.02,1
50,>NT_033777.3:7853600-7854200,3.74,27,3.49,26,117.81,85.83,37.84,99.95,1
51,>NT_037436.4:18908585-18909185,3.18,24,3.12,11,81.57,64.31,29.25,71.47,1
52,>NT_033778.4:16558267-16558867,3.49,20,3.57,43,85.0,61.42,30.96,71.41,1
53,>NT_033778.4:13991766-13992366,3.61,18,3.28,36,100.1,91.07,39.71,80.22,1
54,>NC_004354.4:6222822-6223422,2.94,2,3.14,32,93.98,63.22,28.95,67.14,1
55,>NT_037436.4:12190405-12191005,3.46,21,2.63,15,78.88,60.64,17.62,65.46,1
56,>NC_004354.4:7683143-7683743,3.37,17,3.06,43,96.8,69.18,35.35,55.55,1
57,>NT_033778.4:20633582-20634182,3.43,4,3.67,41,122.84,86.59,43.33,84.24,1
58,>NC_004353.4:621868-622468,3.33,30,3.12,35,126.9,63.75,27.98,62.35,1
59,>NT_037436.4:12187083-12187683,2.86,16,3.98,4,84.29,61.0,21.56,107.23,1
60,>NT_033779.5:2357962-2358562,3.77,21,3.61,14,135.32,80.85,41.17,95.96,1
61,>NC_004354.4:6650363-6650963,3.01,18,3.18,7,62.02,70.4,35.8,89.87,1
62,>NC_004354.4:8555075-8555675,3.2,26,3.98,10,88.97,59.36,30.46,78.61,1
63,>NT_033779.5:1500472-1501072,3.49,26,3.01,20,116.24,67.72,28.27,75.28,1
64,>NT_033778.4:19951652-19952252,2.7,11,3.43,31,100.78,61.64,33.53,87.45,1
65,>NT_037436.4:9833620-9834220,3.98,8,3.29,16,97.97,78.29,27.75,81.33,1
66,>NT_033777.3:19376754-19377354,3.61,4,3.98,42,143.69,75.37,47.74,88.79,1
67,>NT_033779.5:3467119-3467719,3.77,32,3.49,21,106.05,88.81,36.13,78.31,1
68,>NT_033779.5:10982117-10982717,3.53,8,2.95,35,97.6,81.75,27.77,77.9,1
69,>NT_033778.4:18445226-18445826,3.49,10,3.07,42,65.54,67.74,30.61,66.56,1
70,>NC_004354.4:787641-788241,3.37,2,2.95,1,92.26,70.85,31.97,80.82,1
71,>NT_037436.4:9726406-9727006,3.06,12,3.61,8,114.74,62.14,26.47,76.56,1
72,>NC_004354.4:2114230-2114830,3.98,3,3.49,20,112.37,123.7,44.36,90.46,1
73,>NT_033779.5:16354087-16354687,2.86,28,3.04,43,103.22,66.86,31.99,66.85,1
74,>NC_004354.4:13382886-13383486,2.58,2,3.98,12,116.9,55.59,37.77,138.59,1
75,>NT_037436.4:16574440-16575040,3.25,12,3.25,42,83.82,69.19,34.77,75.16,1
76,>NC_004354.4:2092793-2093393,3.53,28,3.49,6,106.64,84.76,29.95,94.66,1
77,>NT_033778.4:9883047-9883647,3.07,8,3.46,0,104.39,74.8,29.43,91.37,1
78,>NT_033778.4:17572022-17572622,2.87,28,3.77,5,99.76,63.83,26.09,71.14,1
79,>NT_033778.4:11355823-11356423,3.67,13,3.09,3,93.69,79.35,28.76,69.67,1
80,>NC_004354.4:9082526-9083126,3.2,33,3.74,0,94.16,51.9,32.82,101.19,1
81,>NT_033777.3:9234127-9234727,3.61,27,3.98,31,113.51,61.95,37.07,135.47,1
82,>NT_033778.4:19121933-19122533,3.24,26,3.37,23,79.78,71.99,31.89,92.39,1
83,>NT_033777.3:13854270-13854870,2.66,34,3.28,0,107.51,53.74,27.26,88.34,1
84,>NT_033777.3:21748677-21749277,3.36,24,3.61,10,77.47,75.57,35.68,89.78,1
85,>NT_033778.4:25229255-25229855,3.98,25,3.36,7,88.6,90.8,27.55,72.9,1
86,>NT_033777.3:22359896-22360496,3.98,2,3.43,0,100.74,101.1,49.42,96.32,1
87,>NT_037436.4:16809171-16809771,3.74,22,3.12,31,117.81,70.79,30.89,76.6,1
88,>NT_037436.4:21438419-21439019,3.37,17,3.2,13,92.0,54.48,30.7,93.15,1
89,>NT_033777.3:32039199-32039799,2.88,19,3.05,43,86.6,59.08,27.77,48.76,1
90,>NT_033778.4:13505711-13506311,2.55,19,3.18,41,81.25,45.34,25.04,72.04,1
91,>NT_033777.3:15270205-15270805,3.09,0,3.67,42,99.63,59.32,41.4,72.26,1
92,>NT_033779.5:271330-271930,3.33,28,3.09,43,107.1,79.15,32.1,58.96,1
93,>NC_004354.4:15741693-15742293,3.2,30,3.36,43,89.64,64.8,34.46,78.07,1
94,>NT_033778.4:17088040-17088640,3.77,13,3.04,26,80.04,75.16,23.45,61.53,1
95,>NT_033777.3:9741980-9742580,3.24,23,3.25,30,95.05,72.53,33.95,76.34,1
96,>NT_033779.5:7223938-7224538,3.43,23,3.98,42,97.97,70.46,41.0,111.19,1
97,>NT_037436.4:144708-145308,2.79,24,3.36,43,111.12,52.65,35.31,71.61,1
98,>NT_033777.3:14034430-14035030,2.53,34,3.25,12,110.6,50.86,24.13,69.72,1
99,>NC_004354.4:13999241-13999841,3.61,28,3.98,40,160.7,77.42,39.22,107.6,1
100,>NT_033779.5:15727458-15728058,3.98,19,3.98,37,92.47,113.32,49.13,90.28,1
101,>NT_037436.4:5805449-5806049,3.98,33,2.43,43,92.81,90.97,39.31,54.92,1
102,>NT_033779.5:1820921-1821521,3.98,25,3.26,15,72.75,83.57,27.38,83.87,1
103,>NT_033778.4:23846724-23847324,3.98,9,3.49,14,88.51,91.09,33.85,61.34,1
104,>NT_037436.4:17012775-17013375,3.77,13,2.63,20,86.08,75.09,31.27,81.62,1
105,>NC_004354.4:16700523-16701123,3.61,19,3.18,32,74.66,78.0,31.24,82.59,1
106,>NT_033777.3:23731199-23731799,3.67,3,3.25,11,109.9,72.85,40.58,81.61,1
107,>NT_033777.3:22459121-22459721,3.18,5,3.18,19,104.55,72.47,40.76,80.7,1
108,>NT_033777.3:18686312-18686912,3.2,0,3.98,41,85.23,70.78,45.83,102.54,1
109,>NC_004354.4:3882615-3883215,3.33,19,3.77,15,125.16,77.49,35.88,93.01,1
110,>NT_037436.4:20694824-20695424,3.33,30,3.98,7,152.42,62.61,31.94,104.03,1
111,>NT_033779.5:7890871-7891471,3.98,20,3.09,0,142.05,96.23,34.66,77.08,1
112,>NT_033777.3:15967834-15968434,3.61,26,3.25,12,85.39,80.18,28.05,73.87,1
113,>NT_033779.5:5098290-5098890,2.84,0,2.71,5,102.54,50.29,31.51,75.06,1
114,>NT_033779.5:19775953-19776553,3.77,23,3.05,28,95.27,68.74,24.8,71.33,1
115,>NT_033777.3:10299666-10300266,2.75,33,3.5,1,141.69,62.72,26.81,67.55,1
116,>NT_033777.3:8236845-8237445,2.3,24,2.79,33,87.38,52.83,26.54,69.59,1
117,>NT_033777.3:22392014-22392614,3.61,3,3.98,0,114.02,88.07,30.78,91.1,1
118,>NC_004354.4:6298602-6299202,3.26,13,3.26,4,85.98,70.2,22.43,73.17,1
119,>NT_037436.4:2914724-2915324,3.12,23,3.53,12,70.2,57.88,25.62,85.47,1
120,>NT_033779.5:10307831-10308431,3.49,20,3.06,42,113.48,70.38,28.96,68.01,1
121,>NT_037436.4:2995826-2996426,3.5,9,3.12,13,88.85,67.48,25.45,71.2,1
122,>NT_037436.4:25115549-25116149,3.49,14,3.57,43,82.1,82.24,37.34,71.99,1
123,>NT_033779.5:12057922-12058522,3.67,30,2.38,42,127.29,75.96,24.69,68.15,1
124,>NC_004354.4:22446913-22447513,3.61,19,3.53,9,80.6,66.76,27.54,73.61,1
125,>NT_033777.3:29058972-29059572,3.24,24,2.47,7,122.13,70.99,32.09,63.99,1
126,>NT_033777.3:20302529-20303129,3.74,18,3.98,23,110.95,90.42,34.54,117.73,1
127,>NC_004354.4:18284266-18284866,3.53,8,3.37,35,88.96,86.02,41.52,101.92,1
128,>NT_033778.4:22091146-22091746,3.26,9,3.77,4,102.57,78.43,25.89,78.25,1
129,>NC_004354.4:8631040-8631640,3.29,24,3.98,22,99.89,78.39,45.17,122.98,1
130,>NT_033779.5:12455295-12455895,3.74,24,3.61,22,87.33,88.09,40.41,109.34,1
131,>NT_033777.3:30175337-30175937,3.12,32,3.57,12,126.43,73.06,33.51,87.6,1
132,>NT_033779.5:13932227-13932827,3.98,19,3.98,17,100.15,88.57,27.84,97.42,1
133,>NT_033778.4:10827568-10828168,3.57,10,3.37,13,94.69,80.8,29.47,64.21,1
134,>NT_033778.4:12954871-12955471,3.57,15,3.43,23,64.75,61.2,33.75,86.66,1
135,>NC_004354.4:10276314-10276914,3.67,31,3.49,15,110.28,92.76,44.4,95.05,1
136,>NT_033777.3:8128431-8129031,2.45,14,2.23,18,97.36,46.14,19.74,58.8,1
137,>NT_033777.3:4247966-4248566,3.05,34,3.98,16,89.61,61.33,29.98,113.32,1
138,>NT_033778.4:14355457-14356057,3.26,34,2.14,27,88.58,70.92,28.86,49.21,1
139,>NC_004354.4:9153533-9154133,3.57,27,2.88,40,127.05,65.14,27.94,44.21,1
140,>NT_033779.5:1011121-1011721,2.9,6,3.98,30,102.89,57.4,42.87,121.15,1
141,>NT_037436.4:4464783-4465383,3.61,15,3.61,9,76.6,74.16,23.28,86.99,1
142,>NT_033779.5:10427710-10428310,3.49,15,3.12,35,98.99,79.51,34.54,93.09,1
143,>NT_033778.4:13163659-13164259,3.26,15,3.01,9,92.77,63.54,21.51,69.06,1
144,>NT_033777.3:30128979-30129579,3.49,31,3.18,42,92.14,63.34,33.91,72.53,1
145,>NT_033779.5:7225956-7226556,3.26,20,2.44,2,116.01,70.1,28.29,59.65,1
146,>NT_033778.4:13486337-13486937,3.49,17,2.45,42,108.59,74.66,27.02,42.57,1
147,>NT_033779.5:20848883-20849483,3.49,15,2.47,39,85.37,67.64,23.96,65.59,1
148,>NT_033779.5:4876203-4876803,3.2,31,3.09,39,100.84,63.95,35.27,64.22,1
149,>NC_004354.4:1211548-1212148,3.26,20,3.18,36,106.64,67.2,32.57,84.82,1
150,>NT_033778.4:21061314-21061914,3.18,6,3.01,15,105.9,65.16,23.68,59.24,1
151,>NT_037436.4:15503322-15503922,3.09,23,3.61,1,98.77,69.9,25.07,84.49,1
152,>NC_004354.4:5310281-5310881,3.5,15,2.74,29,101.81,80.32,21.59,59.64,1
153,>NC_004354.4:1134140-1134740,3.61,9,3.49,11,82.52,59.03,39.12,111.6,1
154,>NC_004354.4:18909625-18910225,3.29,15,3.5,15,116.88,70.88,26.63,99.12,1
155,>NC_004354.4:2700867-2701467,2.6,33,3.24,2,83.45,54.91,24.44,81.77,1
156,>NT_037436.4:4047310-4047910,3.98,4,3.49,33,102.14,91.84,33.84,87.93,1
157,>NT_033778.4:23805588-23806188,3.0,33,2.71,43,96.67,51.74,23.21,64.22,1
158,>NT_033777.3:20578028-20578628,3.12,20,3.12,8,105.72,67.96,26.88,75.73,1
159,>NC_004354.4:14603707-14604307,3.74,31,3.61,26,101.53,80.66,31.67,67.0,1
160,>NT_037436.4:6203728-6204328,3.28,12,3.98,42,104.14,76.8,31.86,92.77,1
161,>NT_037436.4:13301622-13302222,3.61,21,3.06,42,72.04,80.7,33.33,66.48,1
162,>NT_037436.4:8421102-8421702,3.22,6,3.18,13,102.76,76.98,35.72,93.39,1
163,>NC_004354.4:14906041-14906641,3.98,9,3.61,9,82.95,70.01,41.76,72.72,1
164,>NT_033779.5:14333560-14334160,3.49,4,3.57,19,96.35,74.82,34.24,74.53,1
165,>NT_033777.3:30009782-30010382,3.03,16,3.03,42,90.95,63.93,31.32,71.69,1
166,>NT_033779.5:13258565-13259165,3.57,0,3.01,43,94.67,72.11,37.04,59.95,1
167,>NT_037436.4:8971928-8972528,3.12,10,3.12,42,66.66,47.96,24.2,71.27,1
168,>NT_033777.3:17768018-17768618,3.57,30,2.85,10,101.42,70.18,22.32,77.63,1
169,>NT_037436.4:1544583-1545183,2.77,24,2.79,5,83.35,52.58,19.47,70.69,1
170,>NC_004354.4:18170257-18170857,3.67,9,3.98,22,107.17,92.17,43.55,126.02,1
171,>NT_033777.3:7759377-7759977,3.98,18,3.77,26,100.28,98.99,44.26,91.63,1
172,>NC_004354.4:5305988-5306588,2.77,13,2.95,42,78.76,62.6,31.55,66.43,1
173,>NC_004354.4:15589065-15589665,3.49,14,2.43,13,78.73,45.94,16.52,60.06,1
174,>NC_004354.4:6223035-6223635,3.98,33,2.58,42,118.04,77.32,37.48,65.11,1
175,>NC_004354.4:22451137-22451737,3.49,1,3.12,31,131.86,83.37,36.73,80.64,1
176,>NT_033779.5:5972903-5973503,3.77,6,3.18,42,123.7,86.22,43.32,82.25,1
177,>NT_033778.4:14252297-14252897,3.49,15,2.55,43,96.72,64.89,21.82,56.53,1
178,>NT_033777.3:26872772-26873372,3.22,33,3.28,37,145.41,69.05,35.81,68.03,1
179,>NT_033777.3:11394420-11395020,3.67,6,3.2,22,83.0,85.56,34.37,85.98,1
180,>NT_033777.3:12741646-12742246,3.98,12,3.46,12,132.62,97.4,37.62,88.33,1
181,>NT_033777.3:28319858-28320458,3.61,16,2.71,22,95.17,67.8,15.66,44.46,1
182,>NT_033778.4:19493646-19494246,3.98,30,3.33,37,118.84,80.74,31.57,93.93,1
183,>NC_004354.4:13157125-13157725,3.57,33,2.72,43,126.4,71.39,32.28,67.26,1
184,>NT_033778.4:13967515-13968115,3.67,8,3.74,34,78.34,86.05,31.64,90.01,1
185,>NT_033779.5:2756870-2757470,3.98,1,3.77,37,82.93,100.11,47.2,66.81,1
186,>NT_033777.3:19929097-19929697,3.67,9,3.53,16,108.76,76.03,28.84,75.47,1
187,>NT_033777.3:14626412-14627012,3.74,16,3.26,33,81.13,71.09,20.18,63.83,1
188,>NT_037436.4:4365021-4365621,2.7,29,2.39,36,76.23,53.75,19.36,49.57,1
189,>NT_033777.3:29874579-29875179,3.09,18,2.55,1,89.7,59.29,27.27,63.03,1
190,>NC_004354.4:16361392-16361992,3.49,7,3.98,42,68.46,83.81,40.09,98.09,1
191,>NT_033777.3:20644237-20644837,3.37,2,3.28,6,100.69,73.85,34.58,71.55,1
192,>NT_033778.4:24509518-24510118,3.28,33,3.22,4,77.31,84.03,28.29,81.66,1
193,>NT_037436.4:9683312-9683912,3.74,10,3.98,29,143.47,107.87,47.94,123.0,1
194,>NT_033778.4:24446770-24447370,3.36,13,3.18,3,70.59,80.88,30.18,67.28,1
195,>NT_037436.4:4224441-4225041,2.77,5,3.98,4,122.4,60.78,32.7,130.37,1
196,>NT_037436.4:2489980-2490580,2.85,29,3.74,43,76.35,64.68,39.46,96.73,1
197,>NC_004354.4:9116432-9117032,3.09,11,3.67,17,114.89,47.28,22.69,71.06,1
198,>NT_033778.4:925797-926397,3.57,10,3.07,39,65.71,84.76,36.56,56.92,1
199,>NC_004354.4:19598720-19599320,3.29,6,3.43,43,94.44,81.33,36.37,78.34,1
200,>NT_033778.4:7496473-7497073,3.2,0,3.74,3,90.88,55.15,35.05,85.1,1
201,>NC_004354.4:2595871-2596471,3.74,9,3.98,28,84.82,79.33,44.88,128.01,1
202,>NT_033778.4:12275390-12275990,3.49,30,3.43,43,98.52,83.07,35.73,81.45,1
203,>NT_033777.3:9714531-9715131,3.5,0,3.2,14,89.11,73.95,36.76,84.8,1
204,>NC_004354.4:17081110-17081710,3.49,26,3.61,42,74.66,75.13,33.79,74.34,1
205,>NT_037436.4:17036565-17037165,3.57,13,3.98,9,89.31,59.31,24.8,93.65,1
206,>NT_033778.4:10435975-10436575,3.36,14,2.95,36,82.15,74.48,32.93,66.65,1
207,>NT_033777.3:6802106-6802706,3.49,26,3.77,10,71.55,81.34,41.18,96.48,1
208,>NT_037436.4:17791682-17792282,3.43,3,2.66,6,122.16,68.91,33.54,56.87,1
209,>NC_004354.4:13869043-13869643,3.26,22,3.26,0,135.84,66.38,34.58,102.58,1
210,>NT_037436.4:14769041-14769641,3.61,10,3.61,14,91.83,85.31,38.55,83.71,1
211,>NT_037436.4:5929820-5930420,3.18,26,2.4,43,94.04,57.31,26.01,46.98,1
212,>NT_033778.4:14866857-14867457,3.2,24,3.18,28,96.03,73.25,32.95,75.13,1
213,>NT_033778.4:6239577-6240177,3.98,13,2.71,43,154.39,80.39,31.03,67.14,1
214,>NT_033777.3:16436058-16436658,3.24,15,3.09,2,76.25,64.39,28.08,53.74,1
215,>NT_033777.3:6627898-6628498,3.61,33,2.69,10,106.87,64.12,26.65,56.48,1
216,>NC_004353.4:166245-166845,3.49,19,2.96,22,105.02,73.25,36.43,78.09,1
217,>NT_037436.4:1752028-1752628,3.24,21,2.79,42,96.49,56.95,30.45,63.92,1
218,>NT_033779.5:19497681-19498281,3.61,16,3.5,42,137.65,73.76,31.36,74.53,1
219,>NT_037436.4:13868888-13869488,3.74,10,3.74,43,149.57,81.19,42.71,93.11,1
220,>NT_037436.4:7639487-7640087,3.98,28,2.78,20,104.04,83.99,30.28,67.43,1
221,>NC_004354.4:13388547-13389147,3.2,23,3.28,42,73.86,65.77,35.7,79.55,1
222,>NT_037436.4:4174559-4175159,3.77,19,3.25,42,95.12,71.35,28.77,59.08,1
223,>NT_037436.4:18868922-18869522,3.36,12,3.26,12,84.16,54.14,23.86,74.9,1
224,>NT_037436.4:22074113-22074713,3.36,23,3.74,43,75.38,73.34,31.44,86.83,1
225,>NC_004354.4:13340717-13341317,3.49,29,2.86,24,82.14,86.77,33.72,80.66,1
226,>NT_033779.5:8408392-8408992,2.95,17,3.98,39,101.19,66.0,33.35,128.69,1
227,>NT_033778.4:18168161-18168761,3.18,14,3.25,14,91.07,65.35,28.53,70.74,1
228,>NC_004354.4:2075875-2076475,3.98,28,3.26,1,100.39,72.21,29.25,73.81,1
229,>NT_037436.4:13523498-13524098,3.22,5,3.98,11,104.71,84.8,45.45,117.84,1
230,>NT_033777.3:21409653-21410253,3.24,25,3.05,12,102.63,65.25,21.75,72.68,1
231,>NT_033778.4:13819727-13820327,3.77,24,2.66,12,75.63,66.95,23.9,59.92,1
232,>NT_033779.5:4646191-4646791,3.57,15,3.67,42,109.64,70.61,42.39,95.5,1
233,>NC_004354.4:1456875-1457475,3.2,16,3.12,36,81.25,70.12,23.53,54.36,1
234,>NT_037436.4:1665986-1666586,3.26,20,2.88,13,98.73,64.9,18.22,69.23,1
235,>NC_004354.4:7314422-7315022,3.25,19,3.18,25,74.32,60.79,22.43,89.54,1
236,>NT_033777.3:28607809-28608409,3.26,22,3.02,42,96.14,59.67,35.41,88.87,1
237,>NT_037436.4:15955950-15956550,3.2,19,3.28,23,82.23,58.0,28.97,77.2,1
238,>NT_033779.5:12610217-12610817,3.24,13,2.79,19,121.11,71.63,29.86,81.57,1
239,>NT_033779.5:19430446-19431046,3.2,21,3.43,43,102.47,69.7,25.18,70.95,1
240,>NT_033778.4:19947780-19948380,3.49,15,3.53,31,104.59,62.1,22.74,86.46,1
241,>NT_033779.5:210206-210806,3.74,30,3.46,42,101.33,88.51,38.44,69.01,1
242,>NC_004354.4:8170379-8170979,1.97,10,3.98,30,77.98,42.32,34.33,133.4,1
243,>NC_004354.4:3391665-3392265,3.98,2,3.98,37,90.42,100.03,51.56,106.18,1
244,>NT_033778.4:21062912-21063512,2.6,19,3.43,43,92.3,55.2,29.86,60.97,1
245,>NT_037436.4:14881664-14882264,3.53,12,3.77,37,117.64,73.61,37.62,109.57,1
246,>NT_033777.3:31806271-31806871,3.36,24,3.14,10,98.03,74.49,20.88,79.1,1
247,>NT_033778.4:19029942-19030542,3.67,23,2.54,21,102.29,79.97,29.37,62.07,1
248,>NC_004354.4:9236501-9237101,3.26,22,2.5,43,84.33,73.54,30.23,63.12,1
249,>NC_004354.4:1927224-1927824,3.61,20,3.43,31,81.82,75.72,31.63,73.16,1
250,>NT_033779.5:2574980-2575580,3.26,28,3.09,43,106.96,62.54,35.54,55.25,1
251,>NT_033777.3:10772897-10773497,3.22,29,3.77,42,115.02,60.65,31.35,61.31,1
252,>NT_033779.5:12706380-12706980,3.98,22,2.86,25,97.51,99.03,25.37,76.1,1
253,>NT_033779.5:19792537-19793137,3.12,0,3.22,4,121.99,67.16,30.87,79.54,1
254,>NT_033779.5:7796238-7796838,3.74,2,3.98,2,99.03,83.14,39.7,85.78,1
255,>NC_004354.4:18826377-18826977,3.2,34,3.61,16,105.38,56.71,28.28,74.52,1
256,>NT_033779.5:21639320-21639920,3.24,28,3.57,43,98.66,75.04,38.95,92.68,1
257,>NT_033779.5:22991978-22992578,3.09,22,2.77,0,93.32,75.78,22.98,77.5,1
258,>NT_033777.3:5848044-5848644,3.98,2,2.62,0,79.93,112.31,37.79,58.64,1
259,>NT_033779.5:23066676-23067276,3.03,2,3.98,4,73.98,70.65,35.16,74.98,1
260,>NT_037436.4:23185450-23186050,3.77,9,2.88,15,119.63,86.3,29.87,56.6,1
261,>NC_004354.4:16356362-16356962,3.61,12,3.06,43,109.06,80.94,35.73,69.94,1
262,>NC_004354.4:8165919-8166519,3.37,6,3.98,21,113.74,83.13,35.04,148.16,1
263,>NT_033779.5:15035260-15035860,3.98,18,3.18,41,99.71,91.67,40.9,66.18,1
264,>NT_033779.5:9995238-9995838,3.61,18,3.98,9,89.08,74.65,37.9,90.59,1
265,>NT_033779.5:12708339-12708939,3.26,18,3.26,25,96.43,74.21,26.2,82.78,1
266,>NC_004354.4:20574440-20575040,3.07,2,2.63,15,97.84,63.28,22.33,47.18,1
267,>NT_033777.3:18316705-18317305,3.49,26,2.54,2,54.46,62.56,22.4,54.85,1
268,>NT_033777.3:15141825-15142425,3.29,30,2.55,22,86.48,83.64,29.91,60.32,1
269,>NT_037436.4:2554572-2555172,3.77,14,3.18,42,143.25,76.86,33.93,98.56,1
270,>NT_033779.5:302570-303170,2.63,13,3.98,42,85.42,66.21,40.29,70.15,1
271,>NT_033779.5:17412947-17413547,3.22,17,3.5,18,82.56,74.7,30.66,87.03,1
272,>NT_033779.5:9683179-9683779,3.49,14,2.89,13,103.82,80.25,25.82,60.03,1
273,>NC_004353.4:113523-114123,3.77,9,2.57,13,125.5,95.12,36.26,74.87,1
274,>NC_004354.4:9093424-9094024,3.61,29,3.98,4,95.12,79.91,38.48,87.64,1
275,>NT_033777.3:8753761-8754361,3.67,12,3.74,38,95.84,83.25,32.28,92.26,1
276,>NT_033777.3:31594424-31595024,3.49,17,3.33,10,89.2,81.19,33.6,74.79,1
277,>NT_033778.4:23503515-23504115,3.28,12,3.12,24,115.2,74.89,30.93,61.41,1
278,>NT_033778.4:9425645-9426245,2.72,27,3.18,5,93.37,53.62,23.72,80.23,1
279,>NT_033777.3:16809170-16809770,3.98,0,2.88,3,104.98,71.53,42.79,72.1,1
280,>NT_033779.5:7054547-7055147,3.2,18,2.55,43,92.42,66.18,31.11,73.13,1
281,>NT_033779.5:13264656-13265256,3.46,8,2.61,21,92.1,57.59,25.31,54.08,1
